Date,Session,Type,Purge_Time,Revert_Time
2021-09-23,London,Purge High,2021-09-23 02:51:00-04:00,2021-09-23 02:52:00-04:00
2021-09-27,London,Purge High,2021-09-27 02:00:00-04:00,2021-09-27 02:00:00-04:00
2021-09-30,London,Purge High,2021-09-30 02:09:00-04:00,2021-09-30 02:09:00-04:00
2021-10-01,London,Purge Low,2021-10-01 02:20:00-04:00,2021-10-01 02:28:00-04:00
2021-10-04,London,Purge Low,2021-10-04 02:00:00-04:00,2021-10-04 02:01:00-04:00
2021-10-06,London,Purge Low,2021-10-06 03:47:00-04:00,2021-10-06 03:49:00-04:00
2021-10-07,London,Purge High,2021-10-07 02:21:00-04:00,2021-10-07 02:43:00-04:00
2021-10-12,London,Purge Low,2021-10-12 02:56:00-04:00,2021-10-12 02:57:00-04:00
2021-10-13,London,Purge High,2021-10-13 03:35:00-04:00,2021-10-13 03:40:00-04:00
2021-10-13,London,Purge Low,2021-10-13 03:10:00-04:00,2021-10-13 03:10:00-04:00
2021-10-14,London,Purge High,2021-10-14 02:00:00-04:00,2021-10-14 02:05:00-04:00
2021-10-15,London,Purge High,2021-10-15 02:00:00-04:00,2021-10-15 02:11:00-04:00
2021-10-18,London,Purge Low,2021-10-18 02:05:00-04:00,2021-10-18 03:13:00-04:00
2021-10-19,London,Purge High,2021-10-19 02:04:00-04:00,2021-10-19 02:05:00-04:00
2021-10-21,London,Purge Low,2021-10-21 02:00:00-04:00,2021-10-21 02:00:00-04:00
2021-10-22,London,Purge High,2021-10-22 03:18:00-04:00,2021-10-22 03:18:00-04:00
2021-10-25,London,Purge High,2021-10-25 02:00:00-04:00,2021-10-25 02:06:00-04:00
2021-10-26,London,Purge High,2021-10-26 02:18:00-04:00,2021-10-26 02:18:00-04:00
2021-10-27,London,Purge High,2021-10-27 03:04:00-04:00,2021-10-27 03:08:00-04:00
2021-10-27,London,Purge Low,2021-10-27 05:52:00-04:00,2021-10-27 05:53:00-04:00
2021-10-28,London,Purge High,2021-10-28 03:18:00-04:00,2021-10-28 03:19:00-04:00
2021-10-29,London,Purge Low,2021-10-29 06:13:00-04:00,2021-10-29 06:34:00-04:00
2021-11-01,London,Purge High,2021-11-01 05:05:00-04:00,2021-11-01 05:05:00-04:00
2021-11-02,London,Purge High,2021-11-02 02:36:00-04:00,2021-11-02 02:36:00-04:00
2021-11-03,London,Purge High,2021-11-03 04:07:00-04:00,2021-11-03 04:11:00-04:00
2021-11-04,London,Purge High,2021-11-04 04:08:00-04:00,2021-11-04 04:10:00-04:00
2021-11-05,London,Purge High,2021-11-05 04:25:00-04:00,2021-11-05 04:26:00-04:00
