Date,Session,Type,Purge_Time,Revert_Time
2023-01-11,London,Purge High,2023-01-11 04:17:00-05:00,2023-01-11 04:38:00-05:00
2023-01-13,London,Purge Low,2023-01-13 06:53:00-05:00,2023-01-13 06:54:00-05:00
2023-01-16,London,Purge Low,2023-01-16 02:06:00-05:00,2023-01-16 02:10:00-05:00
2023-01-17,London,Purge Low,2023-01-17 02:00:00-05:00,2023-01-17 02:08:00-05:00
2023-01-19,London,Purge Low,2023-01-19 02:01:00-05:00,2023-01-19 02:01:00-05:00
2023-01-20,London,Purge Low,2023-01-20 03:26:00-05:00,2023-01-20 03:27:00-05:00
2023-01-23,London,Purge High,2023-01-23 02:03:00-05:00,2023-01-23 02:09:00-05:00
2023-01-23,London,Purge Low,2023-01-23 06:57:00-05:00,2023-01-23 06:57:00-05:00
2023-01-26,London,Purge High,2023-01-26 02:00:00-05:00,2023-01-26 04:37:00-05:00
2023-01-31,London,Purge Low,2023-01-31 03:47:00-05:00,2023-01-31 03:57:00-05:00
2023-02-01,London,Purge High,2023-02-01 02:18:00-05:00,2023-02-01 02:19:00-05:00
2023-02-02,London,Purge High,2023-02-02 03:27:00-05:00,2023-02-02 06:08:00-05:00
2023-02-06,London,Purge Low,2023-02-06 02:00:00-05:00,2023-02-06 02:00:00-05:00
2023-02-07,London,Purge Low,2023-02-07 03:05:00-05:00,2023-02-07 03:46:00-05:00
2023-02-13,London,Purge High,2023-02-13 04:00:00-05:00,2023-02-13 04:43:00-05:00
2023-02-14,London,Purge High,2023-02-14 02:34:00-05:00,2023-02-14 02:40:00-05:00
2023-02-17,London,Purge Low,2023-02-17 02:00:00-05:00,2023-02-17 02:06:00-05:00
2023-02-20,London,Purge High,2023-02-20 06:54:00-05:00,2023-02-20 06:54:00-05:00
2023-02-20,London,Purge Low,2023-02-20 03:14:00-05:00,2023-02-20 03:14:00-05:00
2023-02-22,London,Purge Low,2023-02-22 03:29:00-05:00,2023-02-22 03:32:00-05:00
2023-02-23,London,Purge High,2023-02-23 03:32:00-05:00,2023-02-23 03:40:00-05:00
2023-02-24,London,Purge Low,2023-02-24 02:06:00-05:00,2023-02-24 02:06:00-05:00
2023-03-01,London,Purge High,2023-03-01 02:24:00-05:00,2023-03-01 02:26:00-05:00
2023-03-02,London,Purge Low,2023-03-02 02:33:00-05:00,2023-03-02 02:34:00-05:00
2023-03-03,London,Purge High,2023-03-03 03:05:00-05:00,2023-03-03 03:05:00-05:00
2023-03-07,London,Purge High,2023-03-07 04:08:00-05:00,2023-03-07 04:13:00-05:00
2023-03-09,London,Purge Low,2023-03-09 04:59:00-05:00,2023-03-09 05:00:00-05:00
2023-03-13,London,Purge High,2023-03-13 02:06:00-04:00,2023-03-13 02:17:00-04:00
2023-03-14,London,Purge Low,2023-03-14 02:18:00-04:00,2023-03-14 02:18:00-04:00
2023-03-17,London,Purge High,2023-03-17 02:00:00-04:00,2023-03-17 02:16:00-04:00
2023-03-20,London,Purge Low,2023-03-20 02:00:00-04:00,2023-03-20 02:10:00-04:00
2023-03-21,London,Purge High,2023-03-21 03:41:00-04:00,2023-03-21 03:46:00-04:00
2023-03-24,London,Purge High,2023-03-24 03:30:00-04:00,2023-03-24 04:05:00-04:00
2023-03-27,London,Purge High,2023-03-27 02:00:00-04:00,2023-03-27 02:00:00-04:00
2023-03-27,London,Purge Low,2023-03-27 03:24:00-04:00,2023-03-27 04:22:00-04:00
2023-03-28,London,Purge Low,2023-03-28 03:21:00-04:00,2023-03-28 03:35:00-04:00
2023-03-29,London,Purge High,2023-03-29 02:00:00-04:00,2023-03-29 02:01:00-04:00
2023-04-04,London,Purge High,2023-04-04 03:00:00-04:00,2023-04-04 03:03:00-04:00
2023-04-05,London,Purge Low,2023-04-05 02:00:00-04:00,2023-04-05 02:18:00-04:00
2023-04-06,London,Purge Low,2023-04-06 05:55:00-04:00,2023-04-06 06:13:00-04:00
2023-04-10,London,Purge Low,2023-04-10 02:00:00-04:00,2023-04-10 03:55:00-04:00
2023-04-11,London,Purge High,2023-04-11 04:13:00-04:00,2023-04-11 04:14:00-04:00
2023-04-12,London,Purge Low,2023-04-12 02:10:00-04:00,2023-04-12 02:13:00-04:00
2023-04-14,London,Purge High,2023-04-14 03:23:00-04:00,2023-04-14 03:23:00-04:00
2023-04-17,London,Purge High,2023-04-17 03:06:00-04:00,2023-04-17 03:06:00-04:00
2023-04-17,London,Purge Low,2023-04-17 05:16:00-04:00,2023-04-17 05:19:00-04:00
2023-04-18,London,Purge High,2023-04-18 02:18:00-04:00,2023-04-18 02:19:00-04:00
2023-04-19,London,Purge Low,2023-04-19 02:00:00-04:00,2023-04-19 02:01:00-04:00
2023-04-20,London,Purge Low,2023-04-20 02:00:00-04:00,2023-04-20 02:10:00-04:00
2023-04-21,London,Purge Low,2023-04-21 02:15:00-04:00,2023-04-21 02:15:00-04:00
2023-04-24,London,Purge High,2023-04-24 05:34:00-04:00,2023-04-24 05:35:00-04:00
2023-04-24,London,Purge Low,2023-04-24 02:00:00-04:00,2023-04-24 05:14:00-04:00
2023-04-25,London,Purge Low,2023-04-25 02:15:00-04:00,2023-04-25 02:15:00-04:00
2023-04-26,London,Purge Low,2023-04-26 06:56:00-04:00,2023-04-26 06:56:00-04:00
2023-04-27,London,Purge High,2023-04-27 02:20:00-04:00,2023-04-27 02:20:00-04:00
2023-05-01,London,Purge High,2023-05-01 02:33:00-04:00,2023-05-01 02:33:00-04:00
2023-05-08,London,Purge High,2023-05-08 03:13:00-04:00,2023-05-08 03:14:00-04:00
2023-05-11,London,Purge High,2023-05-11 03:46:00-04:00,2023-05-11 03:52:00-04:00
2023-05-16,London,Purge High,2023-05-16 03:21:00-04:00,2023-05-16 03:21:00-04:00
2023-05-18,London,Purge High,2023-05-18 03:13:00-04:00,2023-05-18 03:14:00-04:00
2023-05-22,London,Purge High,2023-05-22 03:08:00-04:00,2023-05-22 03:08:00-04:00
2023-05-24,London,Purge Low,2023-05-24 02:01:00-04:00,2023-05-24 02:01:00-04:00
2023-05-25,London,Purge High,2023-05-25 05:01:00-04:00,2023-05-25 05:01:00-04:00
2023-05-26,London,Purge High,2023-05-26 02:24:00-04:00,2023-05-26 02:24:00-04:00
2023-05-30,London,Purge High,2023-05-30 02:33:00-04:00,2023-05-30 02:35:00-04:00
2023-05-31,London,Purge Low,2023-05-31 02:00:00-04:00,2023-05-31 05:08:00-04:00
2023-06-02,London,Purge High,2023-06-02 02:42:00-04:00,2023-06-02 02:42:00-04:00
2023-06-06,London,Purge High,2023-06-06 03:25:00-04:00,2023-06-06 03:40:00-04:00
2023-06-07,London,Purge Low,2023-06-07 02:47:00-04:00,2023-06-07 02:56:00-04:00
2023-06-08,London,Purge Low,2023-06-08 02:00:00-04:00,2023-06-08 03:40:00-04:00
2023-06-12,London,Purge High,2023-06-12 02:22:00-04:00,2023-06-12 02:45:00-04:00
2023-06-13,London,Purge High,2023-06-13 02:08:00-04:00,2023-06-13 03:10:00-04:00
2023-06-14,London,Purge High,2023-06-14 03:18:00-04:00,2023-06-14 06:51:00-04:00
2023-06-16,London,Purge High,2023-06-16 02:19:00-04:00,2023-06-16 02:28:00-04:00
2023-06-19,London,Purge Low,2023-06-19 04:03:00-04:00,2023-06-19 04:03:00-04:00
2023-06-20,London,Purge Low,2023-06-20 02:00:00-04:00,2023-06-20 02:01:00-04:00
2023-06-22,London,Purge Low,2023-06-22 02:00:00-04:00,2023-06-22 03:51:00-04:00
2023-06-29,London,Purge High,2023-06-29 06:16:00-04:00,2023-06-29 06:20:00-04:00
2023-06-30,London,Purge High,2023-06-30 04:04:00-04:00,2023-06-30 04:05:00-04:00
2023-07-03,London,Purge High,2023-07-03 03:17:00-04:00,2023-07-03 03:17:00-04:00
2023-07-06,London,Purge Low,2023-07-06 02:00:00-04:00,2023-07-06 02:04:00-04:00
2023-07-07,London,Purge Low,2023-07-07 02:16:00-04:00,2023-07-07 02:16:00-04:00
2023-07-10,London,Purge Low,2023-07-10 02:00:00-04:00,2023-07-10 04:05:00-04:00
2023-07-11,London,Purge High,2023-07-11 02:00:00-04:00,2023-07-11 03:59:00-04:00
2023-07-12,London,Purge High,2023-07-12 02:02:00-04:00,2023-07-12 02:02:00-04:00
2023-07-13,London,Purge High,2023-07-13 02:07:00-04:00,2023-07-13 02:07:00-04:00
2023-07-14,London,Purge High,2023-07-14 02:00:00-04:00,2023-07-14 02:00:00-04:00
2023-07-17,London,Purge High,2023-07-17 02:44:00-04:00,2023-07-17 02:52:00-04:00
2023-07-18,London,Purge High,2023-07-18 03:50:00-04:00,2023-07-18 03:59:00-04:00
2023-07-19,London,Purge High,2023-07-19 02:01:00-04:00,2023-07-19 02:01:00-04:00
2023-07-20,London,Purge Low,2023-07-20 03:27:00-04:00,2023-07-20 03:29:00-04:00
2023-07-24,London,Purge High,2023-07-24 03:16:00-04:00,2023-07-24 03:30:00-04:00
2023-07-24,London,Purge Low,2023-07-24 02:08:00-04:00,2023-07-24 02:08:00-04:00
2023-07-25,London,Purge High,2023-07-25 02:13:00-04:00,2023-07-25 02:13:00-04:00
2023-08-02,London,Purge Low,2023-08-02 02:42:00-04:00,2023-08-02 02:42:00-04:00
2023-08-03,London,Purge Low,2023-08-03 02:01:00-04:00,2023-08-03 02:02:00-04:00
2023-08-04,London,Purge High,2023-08-04 02:00:00-04:00,2023-08-04 02:40:00-04:00
2023-08-07,London,Purge High,2023-08-07 03:08:00-04:00,2023-08-07 04:12:00-04:00
2023-08-08,London,Purge Low,2023-08-08 02:00:00-04:00,2023-08-08 03:02:00-04:00
2023-08-11,London,Purge Low,2023-08-11 02:06:00-04:00,2023-08-11 02:09:00-04:00
2023-08-14,London,Purge High,2023-08-14 03:55:00-04:00,2023-08-14 04:31:00-04:00
2023-08-18,London,Purge Low,2023-08-18 03:34:00-04:00,2023-08-18 03:35:00-04:00
2023-08-21,London,Purge High,2023-08-21 03:51:00-04:00,2023-08-21 03:51:00-04:00
2023-08-21,London,Purge Low,2023-08-21 02:00:00-04:00,2023-08-21 02:21:00-04:00
2023-08-22,London,Purge High,2023-08-22 02:09:00-04:00,2023-08-22 02:09:00-04:00
2023-08-23,London,Purge High,2023-08-23 02:00:00-04:00,2023-08-23 02:00:00-04:00
2023-08-24,London,Purge High,2023-08-24 02:00:00-04:00,2023-08-24 02:00:00-04:00
2023-08-25,London,Purge Low,2023-08-25 02:26:00-04:00,2023-08-25 03:06:00-04:00
2023-08-28,London,Purge High,2023-08-28 04:26:00-04:00,2023-08-28 04:26:00-04:00
2023-08-29,London,Purge High,2023-08-29 02:00:00-04:00,2023-08-29 02:57:00-04:00
2023-09-01,London,Purge High,2023-09-01 03:45:00-04:00,2023-09-01 04:01:00-04:00
2023-09-04,London,Purge High,2023-09-04 02:00:00-04:00,2023-09-04 02:00:00-04:00
2023-09-05,London,Purge Low,2023-09-05 02:27:00-04:00,2023-09-05 03:05:00-04:00
2023-09-06,London,Purge Low,2023-09-06 02:59:00-04:00,2023-09-06 06:14:00-04:00
2023-09-08,London,Purge Low,2023-09-08 05:02:00-04:00,2023-09-08 06:22:00-04:00
2023-09-12,London,Purge High,2023-09-12 02:15:00-04:00,2023-09-12 02:18:00-04:00
2023-09-13,London,Purge Low,2023-09-13 02:13:00-04:00,2023-09-13 02:13:00-04:00
2023-09-14,London,Purge High,2023-09-14 02:26:00-04:00,2023-09-14 02:26:00-04:00
2023-09-18,London,Purge High,2023-09-18 03:30:00-04:00,2023-09-18 03:38:00-04:00
2023-09-19,London,Purge High,2023-09-19 04:13:00-04:00,2023-09-19 04:13:00-04:00
2023-09-19,London,Purge Low,2023-09-19 02:00:00-04:00,2023-09-19 03:17:00-04:00
2023-09-20,London,Purge High,2023-09-20 05:57:00-04:00,2023-09-20 05:57:00-04:00
2023-09-21,London,Purge Low,2023-09-21 03:31:00-04:00,2023-09-21 03:33:00-04:00
2023-09-25,London,Purge High,2023-09-25 03:14:00-04:00,2023-09-25 03:47:00-04:00
2023-09-25,London,Purge Low,2023-09-25 04:28:00-04:00,2023-09-25 04:28:00-04:00
2023-09-26,London,Purge Low,2023-09-26 02:10:00-04:00,2023-09-26 04:00:00-04:00
2023-09-28,London,Purge Low,2023-09-28 03:06:00-04:00,2023-09-28 03:08:00-04:00
2023-10-02,London,Purge High,2023-10-02 03:14:00-04:00,2023-10-02 03:14:00-04:00
2023-10-02,London,Purge Low,2023-10-02 02:02:00-04:00,2023-10-02 02:04:00-04:00
2023-10-03,London,Purge High,2023-10-03 04:04:00-04:00,2023-10-03 04:04:00-04:00
2023-10-04,London,Purge Low,2023-10-04 02:05:00-04:00,2023-10-04 03:43:00-04:00
2023-10-06,London,Purge Low,2023-10-06 02:00:00-04:00,2023-10-06 02:05:00-04:00
2023-10-09,London,Purge Low,2023-10-09 03:19:00-04:00,2023-10-09 03:19:00-04:00
2023-10-10,London,Purge High,2023-10-10 04:30:00-04:00,2023-10-10 04:30:00-04:00
2023-10-11,London,Purge High,2023-10-11 03:15:00-04:00,2023-10-11 03:18:00-04:00
2023-10-12,London,Purge High,2023-10-12 02:01:00-04:00,2023-10-12 02:01:00-04:00
2023-10-13,London,Purge Low,2023-10-13 02:00:00-04:00,2023-10-13 02:05:00-04:00
2023-10-16,London,Purge Low,2023-10-16 03:26:00-04:00,2023-10-16 03:29:00-04:00
2023-10-18,London,Purge Low,2023-10-18 02:59:00-04:00,2023-10-18 03:02:00-04:00
2023-10-19,London,Purge Low,2023-10-19 03:46:00-04:00,2023-10-19 04:00:00-04:00
2023-10-20,London,Purge Low,2023-10-20 02:15:00-04:00,2023-10-20 02:15:00-04:00
2023-10-23,London,Purge Low,2023-10-23 03:38:00-04:00,2023-10-23 04:12:00-04:00
2023-10-24,London,Purge High,2023-10-24 02:00:00-04:00,2023-10-24 04:19:00-04:00
2023-10-25,London,Purge Low,2023-10-25 03:05:00-04:00,2023-10-25 03:06:00-04:00
2023-10-26,London,Purge Low,2023-10-26 02:01:00-04:00,2023-10-26 02:02:00-04:00
2023-10-27,London,Purge High,2023-10-27 02:00:00-04:00,2023-10-27 02:00:00-04:00
2023-10-30,London,Purge High,2023-10-30 02:30:00-04:00,2023-10-30 02:31:00-04:00
2023-10-31,London,Purge High,2023-10-31 04:53:00-04:00,2023-10-31 04:53:00-04:00
2023-10-31,London,Purge Low,2023-10-31 02:04:00-04:00,2023-10-31 02:15:00-04:00
2023-11-01,London,Purge High,2023-11-01 02:50:00-04:00,2023-11-01 03:21:00-04:00
2023-11-02,London,Purge High,2023-11-02 03:55:00-04:00,2023-11-02 04:01:00-04:00
2023-11-03,London,Purge High,2023-11-03 02:00:00-04:00,2023-11-03 02:00:00-04:00
2023-11-06,London,Purge High,2023-11-06 02:39:00-05:00,2023-11-06 02:39:00-05:00
2023-11-07,London,Purge High,2023-11-07 03:56:00-05:00,2023-11-07 03:59:00-05:00
2023-11-08,London,Purge High,2023-11-08 06:34:00-05:00,2023-11-08 06:35:00-05:00
2023-11-09,London,Purge High,2023-11-09 02:00:00-05:00,2023-11-09 03:11:00-05:00
2023-11-10,London,Purge Low,2023-11-10 06:35:00-05:00,2023-11-10 06:35:00-05:00
2023-11-14,London,Purge High,2023-11-14 02:20:00-05:00,2023-11-14 02:20:00-05:00
2023-11-15,London,Purge High,2023-11-15 02:00:00-05:00,2023-11-15 02:00:00-05:00
2023-11-17,London,Purge High,2023-11-17 03:32:00-05:00,2023-11-17 03:50:00-05:00
2023-11-20,London,Purge Low,2023-11-20 02:00:00-05:00,2023-11-20 02:03:00-05:00
2023-11-24,London,Purge Low,2023-11-24 02:00:00-05:00,2023-11-24 03:23:00-05:00
2023-11-27,London,Purge High,2023-11-27 05:52:00-05:00,2023-11-27 05:52:00-05:00
2023-11-29,London,Purge High,2023-11-29 03:39:00-05:00,2023-11-29 03:39:00-05:00
2023-11-30,London,Purge Low,2023-11-30 03:50:00-05:00,2023-11-30 03:51:00-05:00
2023-12-01,London,Purge Low,2023-12-01 02:52:00-05:00,2023-12-01 02:53:00-05:00
2023-12-04,London,Purge Low,2023-12-04 02:08:00-05:00,2023-12-04 02:12:00-05:00
2023-12-07,London,Purge Low,2023-12-07 02:00:00-05:00,2023-12-07 02:05:00-05:00
2023-12-08,London,Purge High,2023-12-08 05:02:00-05:00,2023-12-08 05:02:00-05:00
2023-12-11,London,Purge Low,2023-12-11 06:23:00-05:00,2023-12-11 06:25:00-05:00
2023-12-12,London,Purge High,2023-12-12 03:25:00-05:00,2023-12-12 03:30:00-05:00
2023-12-13,London,Purge High,2023-12-13 02:42:00-05:00,2023-12-13 02:43:00-05:00
2023-12-18,London,Purge High,2023-12-18 02:44:00-05:00,2023-12-18 02:45:00-05:00
2023-12-19,London,Purge High,2023-12-19 03:23:00-05:00,2023-12-19 03:30:00-05:00
2023-12-26,London,Purge High,2023-12-26 02:05:00-05:00,2023-12-26 02:05:00-05:00
2023-12-28,London,Purge High,2023-12-28 02:00:00-05:00,2023-12-28 02:00:00-05:00
2024-01-02,London,Purge Low,2024-01-02 04:15:00-05:00,2024-01-02 04:17:00-05:00
2024-01-03,London,Purge Low,2024-01-03 03:44:00-05:00,2024-01-03 03:44:00-05:00
2024-01-08,London,Purge Low,2024-01-08 02:43:00-05:00,2024-01-08 02:43:00-05:00
2024-01-10,London,Purge High,2024-01-10 03:00:00-05:00,2024-01-10 03:10:00-05:00
2024-01-11,London,Purge High,2024-01-11 02:02:00-05:00,2024-01-11 02:15:00-05:00
2024-01-12,London,Purge Low,2024-01-12 02:49:00-05:00,2024-01-12 02:53:00-05:00
2024-01-15,London,Purge High,2024-01-15 02:00:00-05:00,2024-01-15 03:35:00-05:00
2024-01-16,London,Purge Low,2024-01-16 02:00:00-05:00,2024-01-16 02:00:00-05:00
2024-01-17,London,Purge Low,2024-01-17 02:00:00-05:00,2024-01-17 04:35:00-05:00
2024-01-18,London,Purge High,2024-01-18 03:18:00-05:00,2024-01-18 03:18:00-05:00
2024-01-19,London,Purge High,2024-01-19 02:19:00-05:00,2024-01-19 02:23:00-05:00
2024-01-23,London,Purge Low,2024-01-23 03:19:00-05:00,2024-01-23 03:19:00-05:00
2024-01-25,London,Purge High,2024-01-25 02:09:00-05:00,2024-01-25 02:09:00-05:00
2024-01-26,London,Purge Low,2024-01-26 02:48:00-05:00,2024-01-26 02:48:00-05:00
2024-01-29,London,Purge High,2024-01-29 02:00:00-05:00,2024-01-29 02:00:00-05:00
2024-02-02,London,Purge High,2024-02-02 04:03:00-05:00,2024-02-02 04:05:00-05:00
2024-02-06,London,Purge High,2024-02-06 02:02:00-05:00,2024-02-06 04:11:00-05:00
2024-02-07,London,Purge Low,2024-02-07 02:01:00-05:00,2024-02-07 02:01:00-05:00
2024-02-08,London,Purge High,2024-02-08 02:11:00-05:00,2024-02-08 02:15:00-05:00
2024-02-12,London,Purge High,2024-02-12 02:23:00-05:00,2024-02-12 02:25:00-05:00
2024-02-16,London,Purge High,2024-02-16 02:26:00-05:00,2024-02-16 02:31:00-05:00
2024-02-19,London,Purge Low,2024-02-19 03:24:00-05:00,2024-02-19 03:24:00-05:00
2024-02-20,London,Purge Low,2024-02-20 03:21:00-05:00,2024-02-20 03:36:00-05:00
2024-02-21,London,Purge Low,2024-02-21 03:19:00-05:00,2024-02-21 03:19:00-05:00
2024-02-26,London,Purge High,2024-02-26 04:53:00-05:00,2024-02-26 04:53:00-05:00
2024-02-27,London,Purge High,2024-02-27 02:29:00-05:00,2024-02-27 03:33:00-05:00
2024-02-28,London,Purge Low,2024-02-28 04:30:00-05:00,2024-02-28 04:31:00-05:00
2024-02-29,London,Purge Low,2024-02-29 03:10:00-05:00,2024-02-29 03:17:00-05:00
2024-03-01,London,Purge High,2024-03-01 02:00:00-05:00,2024-03-01 03:33:00-05:00
2024-03-04,London,Purge High,2024-03-04 03:09:00-05:00,2024-03-04 03:12:00-05:00
2024-03-04,London,Purge Low,2024-03-04 05:00:00-05:00,2024-03-04 05:01:00-05:00
2024-03-05,London,Purge Low,2024-03-05 02:00:00-05:00,2024-03-05 02:02:00-05:00
2024-03-07,London,Purge High,2024-03-07 04:21:00-05:00,2024-03-07 04:21:00-05:00
2024-03-07,London,Purge Low,2024-03-07 03:10:00-05:00,2024-03-07 03:15:00-05:00
2024-03-08,London,Purge High,2024-03-08 03:10:00-05:00,2024-03-08 06:26:00-05:00
2024-03-11,London,Purge Low,2024-03-11 04:09:00-04:00,2024-03-11 04:09:00-04:00
2024-03-12,London,Purge High,2024-03-12 02:00:00-04:00,2024-03-12 04:14:00-04:00
2024-03-13,London,Purge High,2024-03-13 03:02:00-04:00,2024-03-13 04:04:00-04:00
2024-03-15,London,Purge Low,2024-03-15 02:00:00-04:00,2024-03-15 03:06:00-04:00
2024-03-19,London,Purge High,2024-03-19 04:43:00-04:00,2024-03-19 04:45:00-04:00
2024-03-20,London,Purge High,2024-03-20 06:33:00-04:00,2024-03-20 06:38:00-04:00
2024-03-21,London,Purge High,2024-03-21 02:00:00-04:00,2024-03-21 05:09:00-04:00
2024-03-25,London,Purge Low,2024-03-25 02:00:00-04:00,2024-03-25 02:00:00-04:00
2024-03-26,London,Purge High,2024-03-26 02:55:00-04:00,2024-03-26 03:51:00-04:00
2024-03-28,London,Purge Low,2024-03-28 05:17:00-04:00,2024-03-28 05:54:00-04:00
2024-04-02,London,Purge Low,2024-04-02 03:26:00-04:00,2024-04-02 03:31:00-04:00
2024-04-03,London,Purge Low,2024-04-03 02:00:00-04:00,2024-04-03 03:01:00-04:00
2024-04-08,London,Purge Low,2024-04-08 04:23:00-04:00,2024-04-08 04:29:00-04:00
2024-04-09,London,Purge High,2024-04-09 02:32:00-04:00,2024-04-09 02:32:00-04:00
2024-04-09,London,Purge Low,2024-04-09 03:52:00-04:00,2024-04-09 04:02:00-04:00
2024-04-10,London,Purge High,2024-04-10 03:02:00-04:00,2024-04-10 03:02:00-04:00
2024-04-11,London,Purge Low,2024-04-11 06:08:00-04:00,2024-04-11 06:08:00-04:00
2024-04-12,London,Purge High,2024-04-12 02:19:00-04:00,2024-04-12 02:20:00-04:00
2024-04-15,London,Purge High,2024-04-15 02:00:00-04:00,2024-04-15 02:00:00-04:00
2024-04-16,London,Purge Low,2024-04-16 06:25:00-04:00,2024-04-16 06:25:00-04:00
2024-04-17,London,Purge High,2024-04-17 06:30:00-04:00,2024-04-17 06:30:00-04:00
2024-04-17,London,Purge Low,2024-04-17 02:02:00-04:00,2024-04-17 02:02:00-04:00
2024-04-22,London,Purge High,2024-04-22 02:00:00-04:00,2024-04-22 03:13:00-04:00
2024-04-23,London,Purge High,2024-04-23 04:00:00-04:00,2024-04-23 04:00:00-04:00
2024-04-25,London,Purge Low,2024-04-25 02:00:00-04:00,2024-04-25 02:52:00-04:00
2024-04-29,London,Purge High,2024-04-29 02:00:00-04:00,2024-04-29 02:02:00-04:00
2024-04-30,London,Purge Low,2024-04-30 02:00:00-04:00,2024-04-30 02:02:00-04:00
2024-05-01,London,Purge Low,2024-05-01 02:55:00-04:00,2024-05-01 02:55:00-04:00
2024-05-06,London,Purge High,2024-05-06 06:29:00-04:00,2024-05-06 06:30:00-04:00
2024-05-06,London,Purge Low,2024-05-06 02:00:00-04:00,2024-05-06 02:00:00-04:00
2024-05-07,London,Purge High,2024-05-07 05:09:00-04:00,2024-05-07 05:12:00-04:00
2024-05-08,London,Purge High,2024-05-08 04:26:00-04:00,2024-05-08 04:26:00-04:00
2024-05-09,London,Purge Low,2024-05-09 02:00:00-04:00,2024-05-09 03:05:00-04:00
2024-05-10,London,Purge High,2024-05-10 02:53:00-04:00,2024-05-10 04:02:00-04:00
2024-05-13,London,Purge High,2024-05-13 02:00:00-04:00,2024-05-13 04:16:00-04:00
2024-05-14,London,Purge High,2024-05-14 03:22:00-04:00,2024-05-14 03:24:00-04:00
2024-05-17,London,Purge Low,2024-05-17 04:04:00-04:00,2024-05-17 04:04:00-04:00
2024-05-21,London,Purge High,2024-05-21 03:26:00-04:00,2024-05-21 03:26:00-04:00
2024-05-23,London,Purge High,2024-05-23 06:53:00-04:00,2024-05-23 06:53:00-04:00
2024-05-27,London,Purge High,2024-05-27 02:56:00-04:00,2024-05-27 02:59:00-04:00
2024-05-28,London,Purge High,2024-05-28 04:14:00-04:00,2024-05-28 06:17:00-04:00
2024-05-29,London,Purge Low,2024-05-29 02:00:00-04:00,2024-05-29 03:05:00-04:00
2024-05-30,London,Purge Low,2024-05-30 02:00:00-04:00,2024-05-30 02:22:00-04:00
2024-05-31,London,Purge Low,2024-05-31 06:51:00-04:00,2024-05-31 06:56:00-04:00
2024-06-03,London,Purge High,2024-06-03 02:30:00-04:00,2024-06-03 02:30:00-04:00
2024-06-04,London,Purge Low,2024-06-04 02:01:00-04:00,2024-06-04 02:01:00-04:00
2024-06-05,London,Purge High,2024-06-05 05:05:00-04:00,2024-06-05 05:35:00-04:00
2024-06-07,London,Purge High,2024-06-07 03:02:00-04:00,2024-06-07 03:03:00-04:00
2024-06-10,London,Purge Low,2024-06-10 02:29:00-04:00,2024-06-10 02:29:00-04:00
2024-06-11,London,Purge High,2024-06-11 02:00:00-04:00,2024-06-11 02:40:00-04:00
2024-06-12,London,Purge High,2024-06-12 02:10:00-04:00,2024-06-12 02:10:00-04:00
2024-06-13,London,Purge High,2024-06-13 02:41:00-04:00,2024-06-13 04:15:00-04:00
2024-06-14,London,Purge High,2024-06-14 02:00:00-04:00,2024-06-14 02:02:00-04:00
2024-06-14,London,Purge Low,2024-06-14 05:31:00-04:00,2024-06-14 05:32:00-04:00
2024-06-17,London,Purge High,2024-06-17 03:30:00-04:00,2024-06-17 03:34:00-04:00
2024-06-18,London,Purge High,2024-06-18 04:08:00-04:00,2024-06-18 04:20:00-04:00
2024-06-19,London,Purge High,2024-06-19 02:31:00-04:00,2024-06-19 02:39:00-04:00
2024-06-21,London,Purge Low,2024-06-21 03:22:00-04:00,2024-06-21 03:26:00-04:00
2024-06-24,London,Purge High,2024-06-24 04:15:00-04:00,2024-06-24 04:15:00-04:00
2024-06-25,London,Purge Low,2024-06-25 03:28:00-04:00,2024-06-25 03:28:00-04:00
2024-06-26,London,Purge High,2024-06-26 02:00:00-04:00,2024-06-26 02:04:00-04:00
2024-07-01,London,Purge High,2024-07-01 02:00:00-04:00,2024-07-01 02:41:00-04:00
2024-07-01,London,Purge Low,2024-07-01 03:56:00-04:00,2024-07-01 03:56:00-04:00
2024-07-02,London,Purge Low,2024-07-02 03:01:00-04:00,2024-07-02 03:02:00-04:00
2024-07-03,London,Purge High,2024-07-03 02:00:00-04:00,2024-07-03 02:00:00-04:00
2024-07-08,London,Purge High,2024-07-08 05:53:00-04:00,2024-07-08 05:54:00-04:00
2024-07-10,London,Purge High,2024-07-10 06:24:00-04:00,2024-07-10 06:24:00-04:00
2024-07-12,London,Purge Low,2024-07-12 03:18:00-04:00,2024-07-12 03:18:00-04:00
2024-07-16,London,Purge Low,2024-07-16 03:13:00-04:00,2024-07-16 03:15:00-04:00
2024-07-18,London,Purge Low,2024-07-18 06:12:00-04:00,2024-07-18 06:12:00-04:00
2024-07-22,London,Purge High,2024-07-22 05:41:00-04:00,2024-07-22 05:41:00-04:00
2024-07-25,London,Purge Low,2024-07-25 02:01:00-04:00,2024-07-25 02:20:00-04:00
2024-07-29,London,Purge High,2024-07-29 02:59:00-04:00,2024-07-29 02:59:00-04:00
2024-07-31,London,Purge High,2024-07-31 02:00:00-04:00,2024-07-31 02:00:00-04:00
2024-08-02,London,Purge Low,2024-08-02 03:05:00-04:00,2024-08-02 03:05:00-04:00
2024-08-07,London,Purge High,2024-08-07 05:25:00-04:00,2024-08-07 05:25:00-04:00
2024-08-09,London,Purge High,2024-08-09 04:31:00-04:00,2024-08-09 04:31:00-04:00
